player,message,label,type
Crescht #blom,nt,positive,text
Crescht #blom,bobo,negative,text
Crescht #blom,quit ka nalang,negative,text
Berith#TWICE,bobo,negative,text
Berith#TWICE,goblok,negative,text
Berith#TWICE,pabuhat,negative,text
Berith#TWICE,tangina mo,negative,text
XH Elly#0001,bobo HAHAHAHAHAAHA,negative,text
Woo wop #2220,noob & easy,negative,text
14th Element#6250,noob,negative,text
14th Element#6250,stupid,negative,text
14th Element#6250,ass,negative,text
14th Element#6250,bobo,negative,text
14th Element#6250,tanga,negative,text
14th Element#6250,weak,negative,text
14th Element#6250,shit,negative,text
14th Element#6250,peenoise,negative,text
14th Element#6250,uninstall valorant,negative,text
14th Element#6250,bitch,negative,text
14th Element#6250,gg,negative,text
14th Element#6250,you're so bad,negative,text
14th Element#6250,fuck off,negative,text
14th Element#6250,fuck you,negative,text
14th Element#6250,tangina mo,negative,text
14th Element#6250,mahina,negative,text
14th Element#6250,no aim,neutral,text
14th Element#6250,ew,negative,text
Phantomerist #Chewy,Nt,positive,text
Phantomerist #Chewy,Stupid,negative,text
Phantomerist #Chewy,Trash,negative,text
INS Torres # Mark,"Team Chat: ...
2) All Chat: ...
3) Party Chat: ...
4) Whisper Chat: ...
5) Reply to a private message: ...
6) Emojis: ...
7) Remake (vote): ...
8) Surrender (vote):",,text
Zachma Deek,Nt,positive,text
Czareme #ggs,you're an idiot,negative,text
Czareme #ggs,dumb as fck,negative,text
Czareme #ggs,ez,positive,text
Chanx#1010,N word,negative,text
Chanx#1010,retard,negative,text
Chanx#1010,idiot,negative,text
Chanx#1010,stupid,negative,text
Extalia II#Rexum,PUTANGINA,negative,text
Extalia II#Rexum,Bobo,negative,text
Extalia II#Rexum,inutil,negative,text
Extalia II#Rexum,tarantado,negative,text
Extalia II#Rexum,stfu,negative,text
Anniebear#QtQt,Their Damage on the Enemy,neutral,text
Hate #qtqt,Fuck you,negative,text
Hate #qtqt,go kill your self,negative,text
Hate #qtqt,i hope your family die,negative,text
Hate #qtqt,so stupid,negative,text
Hate #qtqt,noob,negative,text
0,Dumb,negative,text
0,Vv,negative,text
0,Tanga,negative,text
0,BOBO,negative,text
0,Tangina,negative,text
XH SOLARIA #laity,Bobo,negative,text
XH SOLARIA #laity,potangina,negative,text
XH SOLARIA #laity,bano,negative,text
comrade john#0811,bobo,negative,text
comrade john#0811,stupid,negative,text
comrade john#0811,tanga,negative,text
Amira #Cutie,Bobo,negative,text
Adult Hipster #6969,Gg ez third round palang,negative,text
Adult Hipster #6969,death threats,negative,text
Adult Hipster #6969,misogyny,negative,text
Adult Hipster #6969,botfrag bobo,negative,text
Adult Hipster #6969,your mom's a hoe,negative,text
Adult Hipster #6969,go die,negative,text
Adult Hipster #6969,pabuhat na pokpok,negative,text
Adult Hipster #6969,mamatay ka na,negative,text
Adult Hipster #6969,"etc.
Ang dami tbh kahit ako pa mismo nabuhat namumura padin ako nang dahil lang sa babae ako :/",negative,text
jumong #4498,********,negative,text
Farci :2712,bobo,negative,text
Farci :2712,Tanga,negative,text
Farci :2712,wag kana maglaro,negative,text
Farci :2712,stupid and iba PA,negative,text
XTRA#HVN,trash duelist,negative,text
Asclepius #danic,"""bobo mo""",negative,text
Asclepius #danic,tnga,negative,text
Asclepius #danic,"""?""",negative,text
Asclepius #danic,ez,positive,text
Asclepius #danic,ggez,positive,text
SULLENESS#diu2,Noob team,negative,text
SULLENESS#diu2,weak,negative,text
Material gurl #1234,'ont Play ever again,negative,text
Asclepius #danic,bobo mo,negative,text
Asclepius #danic,bobo,negative,text
Asclepius #danic,tanga,negative,text
